Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Fire Size,Suppressed by,Suppressing Agency,Utility Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With,Equipment Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes (Optional):
SDG&E,7/4/2014,12:00,32.7563,-116.926,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 96, P471597",none,12kV,Conductor,Overhead,no,,,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,7/6/2014,11:14,33.0283,-116.926,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"Circuit 972, P319081",none,12kV,Conductor,Overhead,Yes,7/6/2014,11:14 a.m.,Contact From Object,,Animal,Electric Facility,None,
SDG&E,7/22/2014,10:25,32.7899,116.8455,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P276288,AT&T,12kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Outside Force,
SDG&E,8/28/2014,9:30,33.0191,-116.8281,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,Z416585,,12kV,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,9/2/2014,11:15,33.15272,-117.16078,Vegetation,Rural,Less Than .25 Acres,Fire Agency,San Marcos,P219744,none,12kV,Fuse,Overhead,Yes,9/2/2014,11:15,Contact From Object,,Balloons,Pole,Outside Force,
SDG&E,9/11/2014,11:56,33.2769,-117.1345,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P619040,none,12kV,Transformer,Overhead,yes,9/11/2014,11:56,Equipment/Facility Failure,Transformer,,,None,
SDG&E,9/13/2014,20:30,32.7211,-116.7801,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,"Cir 157, P106190",,12kV,Conductor,Overhead,Yes,9/13/2014,20:00,Unknown,,,,Unknown,
SDG&E,9/15/2014,12:53,32.736,-117.0137,Vegetation,Urban,Less Than .25 Acres,Fire Agency,San Miguel FD,"Cir 162, P161277",,240V,Conductor,Overhead,Yes,9/15/2014,12:53,Contact From Object,,Vegetation,Electric Facility,Other,
SDG&E,9/24/2014,19:45,33.0513,-116.8479,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,Cir. RA1 P169791,,4kV,Conductor,Overhead,Yes,9/24/2012,19:45,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,10/7/2014,13:38,33.03898,-117.1705,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Z519759,,240kV,Conductor,Overhead,Yes,10/7/2014,13:42,Contact From Object,,Other,Electric Facility,Outside Force,
SDG&E,10/11/2014,4:00,32.946,-116.8466,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P972639,,12kV,Conductor,Overhead,Yes,10/11/2014,4:00,Contact From Object,,Other,Electric Facility,Outside Force,
SDG&E,11/19/2014,9:30,32.8421,-116.8805,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Cir. 246 P272232,none,12kV,Conductor,Overhead,Yes,11/19/2014,18:00,Contact From Object,,Other,Pole,Outside Force,
SDG&E,2/7/2015,13:36,32.9021,-117.0137,Vegetation,Rural,Less Than .25 Acres,Utility,,TL23041,none,230Kv,Conductor,Overhead,Yes,2/7/2015,13:36,Contact From Object,,Animal,Electric Facility,Unknown,
SDG&E,6/9/2015,5:50,32.9003,-117.2309,Vegetation,Urban,Less Than .25 Acres,Fire Agency,S.D. City,Z63404,,69kV,Conductor,Overhead,Yes,6/9/2015,5:45,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,10/31/2015,13:04:00 P,33.339167,-117.49475,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Pendleton,Z223694,,230V,Conductor,Overhead,No,,,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,4/9/2015,17:23,32.7233,-116.8922,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P171928,,12kV,Other,Overhead,No,,,Unknown,,,,,
SDG&E,5/28/2015,12:45,32.7265,-116.9922,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P196508,,12kV,Conductor,Overhead,Yes,5/28/2015,12:45,Contact From Object,,Balloons,Electric Facility,None,
SDG&E,4/12/2015,14:30,32.7523,-117.3257,Vegetation,Rural,100 - 299 Acres,Fire Agency,Pendleton,P164638,,12kV,Lightning Arrestor,Overhead,No,,,Equipment/Facility Failure,Lightning Arrestor,,,,
SDG&E,7/13/2015,23:45,32.76297,-116.89949,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z971870 Cir 23041,,230kV,Conductor,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Outside Force,
SDG&E,8/8/2015,10:00,33.1973,-117.2308,Vegetation,Urban,Less Than .25 Acres,Customer,,P17530J,,4kV,Conductor,Overhead,Yes,8/8/2015,10:00,Contact From Object,,Balloons,Electric Facility,None,
SDG&E,4/12/2015,12:31,33.0117,-116.866,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P214319,,12kV,Conductor,Overhead,Yes,4/12/2015,12:30,Contact From Object,,Other,Electric Facility,,
SDG&E,4/29/2015,12:00,32.6061,-116.69604,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P175961,none,12kV,Conductor,Overhead,Yes,4/29/2015,12:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,5/17/2015,6:55,33.1808,-117.2064,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P15839,,12kV,Conductor,Overhead,Yes,5/17/2015,7:06,Contact From Object,,Other,Electric Facility,,
SDG&E,7/7/2015,15:00,32.7443,-117.0498,Vegetation,Urban,Less Than .25 Acres,Utility,,Z371043 Cir. 160,,12kV,Conductor,Overhead,Yes,7/7/2015,13:00,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,2/11/2015,15:30,32.8941,-116.9393,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Lakeside Fire,Service span off 237657,,12kV,Conductor,Overhead,,,,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,4/18/2015,12:00,32.7764,-116.9309,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P677849,,220v,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,7/17/2015,9:48,33.175042,-117.0125,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P213348,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Communication Facility,Human Error,
SDG&E,7/27/2015,14:30,33.0665,-116.579,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P212006,,12kV,Conductor,Overhead,Yes,7/27/2015,14:30,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,8/23/2015,15:00,32.27291,-117.1521,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P415300,,12kV,Conductor,Overhead,Yes,8/23/2015,15:00,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,12/26/2015,3:04,33.1323,-117.0695,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido,P218563,,12kV,Conductor,Overhead,Yes,12/26/2015,3:04,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,8/13/2015,20:33,33.24571,-116.6769,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P19586,,12Kv,Conductor,Overhead,Yes,8/13/2015,20:33,Unknown,,,,Unknown,
SDG&E,8/15/2015,17:30,32.74172,-116.9685,Other,Urban,Less Than .25 Acres,Customer,,P273868,,4Kv,Other,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
SDG&E,3/19/2015,23:50,33.032378,-117.0159,Vegetation,Rural,Less Than .25 Acres,Fire Agency,S.D. City,P719156,,12kV,Conductor,Overhead,Yes,3/19/2015,23:50,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,9/1/2015,8:50,32.669,-116.286,Vegetation,Rural,Less Than .25 Acres,Utility,,P41145 cir. 445,,12kV,Conductor,Overhead,Yes,9/1/2015,8:50,Equipment/Facility Failure,Conductor,,,None,
SDG&E,4/13/2015,10:50,32.5859,-117.0017,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Chula Vista,P81123,,12kV,Conductor,Overhead,Yes,4/13/2015,10:50,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,4/28/2015,13:30,32.8917,-116.8419,Vegetation,Rural,Less Than .25 Acres,Customer,,P176657,none,12kV,Conductor,Overhead,Yes,4/28/2015,13:30,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,9/8/2015,11:45,33.0726,-116.74355,Vegetation,Rural,Less Than .25 Acres,Utility,,P416995 cir 222,none,12Kv,Switch,Overhead,Yes,9/8/2015,11:45,Equipment/Facility Failure,Switch,,,None,
SDG&E,9/9/2015,20:40,32.64396,-117.072,Vegetation,Urban,Less Than .25 Acres,Utility,,P89691 - cir 255,none,12Kv,Conductor,Overhead,Yes,9/9/2015,20:40,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,9/17/2015,8:09,32.679142,-117.104441,Vegetation,Urban,Less Than .25 Acres,Fire Agency,National City,P835456,none,12kV,Conductor,Overhead,Yes,9/17/2015,19:55,Equipment/Facility Failure,Transformer,,,None,
SDG&E,10/2/2015,14:30,33.1354,-117.05884,Vegetation,Urban,Less Than .25 Acres,Customer,,P510149,,12kV,Conductor,Overhead,Yes,10/2/2015,14:30,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,10/8/2015,13:47,32.5818,-116.9449,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,Z31746,,69kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,unknown,
SDG&E,10/9/2015,16:00,32.7705,-117.1095,Other,Urban,Less Than .25 Acres,Fire Agency,SDFD,P931883,telco,4kV,Conductor,Overhead,Yes,10/9/2015,16:26,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,9/1/2015,18:01,32.7595,-117.0671,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P270259 cir. RD4,,4kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,9/2/2015,18:18,33.1867,-117.202,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P111781 cir. 859,,12kV,Conductor,Overhead,Yes,9/1/2015,18:11,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,6/23/2016,15:00,32.8058,-116.961,Vegetation,Urban,Less Than .25 Acres,Fire Agency,El Cajon FD,P166454,,12kV,Conductor,Overhead,Yes,6/23/2016,15:00,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,6/12/2016,Unknown,33.094,-117.043,Vegetation,Urban,Less Than .25 Acres,Utility,,P712531,,12kV,Conductor,Overhead,,,,Contact from Object,,Balloons,Electric Facility,None,
SDG&E,1/16/2016,14:42,32.718764,-116.97455,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,P270861,,12kV,Conductor,Overhead,Yes,1/16/2016,14:42,Equipment/Facility Failure,Conductor,,,None,
SDG&E,1/31/2016,15:00,33.3217,-117.156,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CALFIRE,P714625,,12kV,Conductor,Overhead,Yes,1/31/2016,15:00,Equipment/Facility Failure,Conductor,,,Weather,
SDG&E,2/5/2016,9:47,33.0739,-117.0862,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Escondido FD,P418131,,12kV,Other,Overhead,Yes,2/5/2016,9:47,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,2/12/2016,19:30,33.242742,-116.966438,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P414015,,12kV,Conductor,Overhead,Yes,2/12/2016,19:30,Vandalism/Theft,,,,Outside Force,
SDG&E,2/18/2016,0:00,32.7063,-116.397,Vegetation,Rural,Less Than .25 Acres,Utility,,P40825,,12kV,Conductor,Overhead,Yes,2/18/2016,6:00,Equipment/Facility Failure,Conductor,,,None,
SDG&E,8/27/2016,12:43,33.137129,-117.076147,Vegetation,Rural,Less Than .25 Acres,Customer,,P315560,,12kV,Conductor,Overhead,Yes,8/27/2016,12:43,Contact From Object,,Balloons,Electric Facility,Unknown,
SDG&E,3/11/2016,11:40,33.156318,-117.215154,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Vista FD,P615947,,12kV,Conductor,Overhead,Yes,3/11/2016,11:40,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,42562,0.435417,33.27186,-117.182567,Vegetation,Urban,Less Than .25 Acres,Customer,,P228931 C 520,,12kv,Conductor,Overhead,Yes,42562,0.435417,Contact From Object,,Other,Electric Facility,,
SDG&E,42476,Unknown,33.224331,-117.368271,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Unknown,"Z29145 (TL 690, C198)",,12kV,Conductor,Overhead,Yes,42476,,Wind/Equipment/Facility Failure,,,,Weather,
SDG&E,42651,0.453472,33.301856,-117.097422,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Valley Center,Z811329,,230kv,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Other,
SDG&E,1/9/2016,4:30,33.082,-117.091,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido FD,P319659,,12kV,Conductor,Overhead,Yes,1/9/2016,4:30,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,4/6/2016,10:38,33.18655,-117.196747,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Vista FD,P113372,,12kV,Conductor,Overhead,Yes,4/6/2016,10:38,Contact From Object,,Vegetation,Electric Facility,Human Error,
SDG&E,6/27/2016,15:30,33.283735,-116.617411,Vegetation,Rural,Less Than .25 Acres,Customer,,P112086,,12kV,Other,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,Human Error,
SDG&E,7/2/2016,7:51,32.81,-116.878,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P775960,,12kV,Capacitor Bank,Overhead,Yes,7/2/2016,7:51,Equipment/Facility Failure,Capacitor Bank,,,None,
SDG&E,7/31/2016,13:43,33.3663,-117.2033,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Fallbrook Fire,P115869,,12kV,Conductor,Overhead,Yes,7/31/2016,13:43,Contact From Object,,Vegetation,Electric Facility,Unknown,
SDG&E,7/11/2016,13:19,33.114605,-116.584271,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P412648 C221,None,12kV,Lightning Arrestor,Overhead,Yes,7/11/2016,13:19,Equipment/Facility Failure,Lightning Arrestor,,,,
SDG&E,7/22/2016,Unknown,33.201456,-116.935199,Vegetation,Rural,Less Than .25 Acres,Utility,,P212466,,25kV,Transformer,Overhead,No,,,Equipment/Facility Failure,Other,,,Unknown,
SDG&E,7/29/2016,10:57,33.070958,-116.742431,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P416995,,12kv,Conductor,Overhead,Yes,7/29/2016,,Equipment/Facility Failure,Conductor,,,,
SDG&E,1/3/2016,4:30,33.1915,-117.3655,Other,Urban,Less Than .25 Acres,Fire Agency,O'Side FD,Sta. 580-564,,12kV,Transformer,Padmount,Yes,1/3/2016,4:30,Contact From Object,,Vehicle,Electric Facility,Other,
SDG&E,3/3/2016,6:00,32.847243,-116.942031,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Lakeside F.D,P874898,AT&T and Cox,12kV,Conductor,Overhead,Yes,3/3/2016,6:30,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,9/23/2016,11:25,32.738037,-116.733272,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P101347,,12kV,Transformer,Overhead,Yes,9/23/2016,11:25,Equipment/Facility Failure,Transformer,,,None,
SDG&E,42535,0.253472,32.880146,-116.905098,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P370041,AT&T ,12kV,Conductor,Overhead,Yes,42535,0.253472,Contact From Object,,Vehicle,Pole,Outside Force,
SDG&E,9/29/2016,,32.741775,-116.965334,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,P26106,,12kV,Conductor,Overhead,No,,,Contact Between Third Party Facility on Pole and Supply Lines,,,,Outside Force,
SDG&E,9/29/2016,8:14,33.171443,-117.315783,Vegetation,Urban,Less Than .25 Acres,Utility,,Z524971,none,230kV,Conductor,Overhead,No,,,Unknown,,,,Unknown,
SDG&E,42640,unknown,33.296658,-117.207941,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Fuse,Overhead,No,,,Contact From Object,,,,Unknown,
SDG&E,10/21/2016,11:20,33.0485,-116.8615,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P114079,,12kV,Conductor,Overhead,No,,,Unknown,,Other,,,
SDG&E,11/2/2016,10:30,32.837264,-116.702158,Vegetation,Rural,Less Than .25 Acres,Utility,,P175475,,12kV,Conductor,Overhead,Yes,11/2/2016,10:30,Equipment/Facility Failure,Splice/Clamp/Connector,Other,,None,
SDG&E,11/12/2016,20:30,32.6258333,-116.9375,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Chula Vista Fire,P85952,,12kV,Lightning Arrestor,Overhead,Yes,11/12/2016,18:34,Equipment/Facility Failure,Lightning Arrestor,Other,,,
SDG&E,1/20/2017,14:00,32.62736,-117.076705,Building,Urban,Less Than .25 Acres,Fire Agency,Chula Vista,Circuit 256 - Pole 250440,,12kV,Conductor,Overhead,Yes,1/20/2017,0:00,Contact From Object,Conductor,Vegetation,Pole,Weather,
SDG&E,6/8/2017,4:12,33.035644,-117.183891,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Rnch Snta Fe,Circuit 307,,12kV,Transformer,Padmount,Yes,6/8/2017,4:12,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,6/12/2017,11:20,32.842997,-116.71111,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Viejas Fire Dept,Circuit 1458,,12kV,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Weather,
SDG&E,6/19/2017,9:52,32.782865,-117.048756,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,Ciruit 85,,12kv,Conductor,Overhead,Yes,6/19/2017,9:50,Contact From Object,,Other,Electric Facility,,
SDG&E,6/26/2017,14:30,32.7842,-117.139073,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,Circuit 700,,12kV,Switch,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Other,
SDG&E,6/29/2017,13:07,33.135471,-117.097952,Vegetation,Urban,Less Than .25 Acres,Fire Agency,ESCONDIDO,Circuit 186,,12kV,Lightning Arrestor,Overhead,Yes,6/29/2017,13:07,Contact From Object,,Animal,Electric Facility,,
SDG&E,6/29/2017,14:58,32.6933964,-116.855195,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Circuit 75,Communication,12kv,Conductor,Overhead,Yes,6/29/2017,14:58,Contact From Object,,Vehicle,Electric Facility,None,
SDG&E,7/16/2017,11:53,32.829,-117.136,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,Cir 777 - Pole Z92709,Communication,12kV,Conductor,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Other,
SDG&E,7/25/2017,15:18,33.134265,-117.166603,Vegetation,Rural,Less Than .25 Acres,Utility,SDGE,P213441/ C596,,12kV,Conductor,Overhead,No,,,Vandalism/Theft,,,,Other,
SDG&E,7/28/2017,16:31,32.780183,-116.872249,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Heartland,P78591/ C228,,12kv,Conductor,Overhead,Yes,,16:31,Contact From Object,Pole /Conductor,Vehicle,Electric Facility,Outside Force,
SDG&E,8/20/2017,22:15,32.7522,-117.1184,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,P733937,,4kV,Fuse,Overhead,Yes,8/20/2017,0:00,Equipment/Facility Failure,Fuse,,,None,
SDG&E,8/30/2017,14:12,33.387516,-117.245943,Vegetation,Urban,Less Than .25 Acres,Fire Agency,,P214608,,12kV,Conductor,Overhead,Yes,8/30/217,14:11,Contact From Object,,Balloons,Electric Facility,Other,
SDG&E,9/5/2017,14:49,32.619082,-116.694943,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P175945,,12kV,Conductor,Overhead,Yes,9/5/2017,14:49,Contact From Object,,Vegetation,Electric Facility,Unknown,
SDG&E,9/26/2017,6:37,33.298443,-117.419172,vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CMP FD,Z223667 - TL23010,,230kV,Conductor,Overhead,Yes,9/26/2017,6:37,Contact From Object,,Balloons,Electric Facility,Other,
SDG&E,9/27/2017,14:28,33.232655,-116.9748,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Circuit 909 -Z12816,,12kV,Conductor,Overhead,Yes,9/27/2017,12:43,Unknown,,,,Unknown,
SDG&E,9/27/2017,16:10,32.727192,-116.778791,Vegetation,Rural,Less Than .25 Acres,Customer,,P877437,,12kV,Lightning Arrestor,Overhead,Yes,9/27/2017,15:59,Equipment/Facility Failure,Lightning Arrestor,,,None,
SDG&E,10/7/2017,17:40,32.591426,-116.621583,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P471952,Communication,12kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Conductor,,,Other,
SDG&E,10/16/2017,10:20,33.0697,-116.8813,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P112774  /  c236,,12kV,Conductor,Overhead,No,,,Contact From Object,,,Electric Facility,Other,
SDG&E,10/18/2017,7:20,33.9932254,-117.1232409,Vegetation,Urban,Less Than .25 Acres,Unknown,,P10506 Cir 859,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,10/22/2017,10:22,33.099,-117.135,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Rnch Snta Fe,P250055 Circuit 182,,12kV,Conductor,Overhead,Yes,10/22/2017,10:22,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,10/25/2017,13:02,33.285684,-117.027534,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,"P416197, Circuit 908",,12kV,Other,Overhead,No,,,Equipment/Facility Failure,Other,,,Weather,
SDG&E,12/10/2017,2:58,33.273868,-116.953675,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P813516,,12kV,Transformer,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
